No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
L9 ,Limestone,el-Babein ,28.30467,30.75067,Limestone,P ,2,,,,,,,,,,,,,,
L10 ,Limestone,Deir Gebel el-Teir ,28.28167,30.74717,Limestone,P ,3,,,,,,,,,,,,,,
L11 ,Limestone,Tihna el-Gebel ,28.18417,30.77501,Limestone,P ,2,,,,,,,,,,,,,,
L12 ,Limestone,el-Hawarta ,28.16583,30.77667,Limestone,GR ,2,,,,,,,,,,,,,,
L13 ,Limestone,Nazlet Husein Ali ,28.14001,30.77751,Limestone,GR ,2,,,,,,,,,,,,,,
L14 ,Limestone,Sawada ,28.07501,30.80933,Limestone,P ,U,,,,,,,,,,,,,,
L15 ,Limestone,Nazlet Sultan Pasha ,28.06833,30.81751,Limestone,P/GR ,3,,,,,,,,,,,,,,
L16 ,Limestone,Zawyet el-Amwat ,28.05501,30.83167,Limestone,P/GR ,2,,,,,,,,,,,,,,
L17 ,Limestone,Wadi Sheikh Yasin ,28.05251,30.84533,Limestone,P/GR ,3,,,,,,,,,,,,,,
L18 ,Limestone,Darb Tila Nufal ,28.04501,30.85583,Limestone,P/GR ,2,,,,,,,,,,,,,,
L19 ,Limestone,Dirwa ,27.73917,30.70001,Limestone,GR ,2,,,,,,,,,,,,,,
L20 ,Limestone,Nazlet el-Diyaba ,27.94001,30.88183,Limestone,GR ,2,,,,,,,,,,,,,,
L21 ,Limestone,Beni Hasan ,27.91067,30.87167,Limestone,P/GR ,2,,,,,,,,,,,,,,
L22 ,Limestone,el-Sheikh Timay ,27.86167,30.84533,Limestone,P/GR ,3,,,,,,,,,,,,,,
L23 ,Limestone,el-Sheikh Ibada ,27.82651,30.87667,Limestone,P/GR ,2,,,,,,,,,,,,,,
L24 ,Limestone,Deir Abu Hennis ,27.77933,30.92133,Limestone,P ,2,,,,,,,,,,,,,,
L25 ,Limestone,Wadi el-Nakla ,27.75117,30.91933,Limestone,P/GR ,2,,,,,,,,,,,,,,
L26 ,Limestone,Deir el-Bersha north ,27.71917,30.89433,Limestone,P ,2,,,,,,,,,,,,,,
L27 ,Limestone,Deir el-Bersha south ,27.70601,30.89001,Limestone,P ,3,,,,,,,,,,,,,,
L28 ,Limestone,Sheikh Said ,27.69733,30.88951,Limestone,P ,3,,,,,,,,,,,,,,
L29 ,Limestone,Wadi el-Zebeida west ,27.69283,30.90167,Limestone,P ,2,,,,,,,,,,,,,,
L30 ,Limestone,Wadu el-Zebeida central ,27.68951,30.90583,Limestone,P ,3,,,,,,,,,,,,,,
L31 ,Limestone,Queen Tiy Quarry ,27.67817,30.91001,Limestone,P ,1,,,,,,,,,,,,,,
L32 ,Limestone,Amarna north tombs ,27.66201,30.92967,Limestone,P ,1,,,,,,,,,,,,,,
L33 ,Limestone,Deir el-Quseir ,27.49333,30.87301,Limestone,U ,U,,,,,,,,,,,,,,
L34 ,Limestone,Wadi Abu Helwa ,27.42167,30.88167,Limestone,P ,2,,,,,,,,,,,,,,
L35 ,Limestone,Meir ,27.43333,30.70683,Limestone,P ,2,,,,,,,,,,,,,,
